,Flight Name,Ticket Price,Flight timming,Airport to Airport,Time Take,Flight stops
60,Air India 665,"₹ 9,408",08:00 - 10:20(2h 20m),DEL → GOI,(2h 20m),1 stop • 6h 50m
61,Air India 887,"₹ 9,408",07:00 - 09:15(2h 15m),DEL → GOI,(2h 15m),1 stop • 7h 50m
62,Air India 417,"₹ 9,544",14:45 - 16:45(2h 00m),DEL → GOI,(2h 00m),1 stop • 5h 30m
63,Air India 865,"₹ 9,696",10:45 - 13:05(2h 20m),DEL → GOI,(2h 20m),1 stop • 8h 40m
64,IndiGo 6814,"₹ 9,973",07:00 - 08:55(1h 55m),DEL → GOI,(1h 55m),1 stop • 5h 35m
65,Air India 469,"₹ 10,037",13:00 - 14:15(1h 15m),DEL → GOI,(1h 15m),2 stops • 9h 00m
66,Air India 624,"₹ 10,149",19:10 - 21:20(2h 10m),DEL → GOI,(2h 10m),1 stop • 4h 30m
67,IndiGo 382,"₹ 10,672",20:15 - 22:30(2h 15m),DEL → GOI,(2h 15m),1 stop • 4h 25m
68,Air India 636,"₹ 10,928",14:30 - 18:05(3h 35m),DEL → GOI,(3h 35m),1 stop • 7h 30m
69,Air India 636,"₹ 11,330",14:30 - 16:05(1h 35m),DEL → GOI,(1h 35m),2 stops • 7h 30m
70,Vistara 899,"₹ 11,344",14:45 - 17:00(2h 15m),DEL → GOI,(2h 15m),2 stops • 7h 30m
71,Vistara 815,"₹ 13,685",08:20 - 10:50(2h 30m),DEL → GOI,(2h 30m),1 stop • 5h 45m
72,Vistara 941,"₹ 14,913",16:50 - 19:05(2h 15m),DEL → GOI,(2h 15m),1 stop • 5h 25m
73,Vistara 955,"₹ 15,830",17:50 - 20:00(2h 10m),DEL → GOI,(2h 10m),1 stop • 4h 25m
74,Vistara 943,"₹ 16,355",07:30 - 09:45(2h 15m),DEL → GOI,(2h 15m),1 stop • 5h 10m
75,Air India Express 711,"₹ 5,105",05:30 - 07:40(2h 10m),DEL → GOI,(2h 10m),2 stops • 13h 55m
76,Air India Express 743,"₹ 7,043",05:00 - 05:55(0h 55m),DEL → GOI,(0h 55m),2 stops • 8h 20m
77,Air India Express 740,"₹ 7,131",06:55 - 09:50(2h 55m),DEL → GOI,(2h 55m),1 stop • 9h 55m
78,Air India Express 743,"₹ 7,603",05:00 - 05:55(0h 55m),DEL → GOI,(0h 55m),1 stop • 8h 20m
